firma,street,plz,city,country,country_code,local_phone_number,anrede,vorname,nachname
Ueberschär GmbH & Co. KG,Am äußeren Graben 6,70439,Stuttgart (Stammheim),DE,49,1604577921,,,
Heribert Ecken OHG,Buscherhofstr. 11,40599,Düsseldorf,DE,49,3997553152,,,
ASTRA®-DETEKTIVE e.K.,Regensburger Str. 334a,90480,Nürnberg,DE,49,1521656147,,,
Cohn Digital-Center GmbH,Edisonstraße 3,74076,Heilbronn,DE,49,1523969801,,,
"Copy-Druck-Center, Inh. Alfred Sänger",Vöttinger Straße 11,85354,Freising,DE,49,1786800931,,,
"Mang + co, Buch- und Verlagsdruckerei GmbH + Co. KG",Penzendorfer Str. 12,91126,Rednitzhembach,DE,49,1745908183,,,
"ELKA Medien, Inh. Gerd Ellwanger",Badstraße 14,74072,Heilbronn,DE,49,1753216802,,,
Domino Deutschland GmbH,Lorenz-Schott-Straße 3,55252,Mainz-Kastel,DE,49,1608021159,,,
"mb druckservice, Inhaber: Marlies Bohn",Kollwitzstraße 91,10435,Berlin-Prenzlauer Berg,DE,49,1737247584,,,
"Copy Cabana, Inhaber: Gabriele Mayer",Elsenstrasse 107,12435,Berlin,DE,49,1790976549,,,
baru systems,Warmensteinacher Str. 59,12349,Berlin,DE,49,1523009961,,,
EDV-Service Rauer GmbH & Co. KG,Akazienweg 12,33335,Gütersloh,DE,49,1526948595,,,
ENERGIEBUDE - Marc Mauser,Melchinger Str. 4/1,72820,Sonnenbühl-Willmandingen,DE,49,1769668370,,,
Batteriepower Livio Abbagnale,Weissenbrunnenstrasse 39,8903,Birmensdorf ZH,DE,49,1527641135,,,
Profientsorger Martin Schmelke,Hauptstrasse 26,21726,Oldendorf,DE,49,1703515769,,,
Harald Kioschus Nachlasspflege,Hauptstr. 17,79331,Köndringen Teningen,DE,49,1791216015,,,
Altmetallhandel Gast,Jesauer Feldweg,1917,Kamenz,DE,49,1725181452,,,
KAREC GmbH & Co.KG,Centraliapark 12,59329,Wadersloh,DE,49,1779704646,,,
ASP Recyclinghof Blankenburg GmbH,Am Platenberg 13,38889,Blankenburg (Harz),DE,49,1721041808,,,
"Steindl GmbH, Inh. Franz Daniel Geiger",Gögerlstr. 1,82380,Peißenberg,DE,49,1725661598,,,
LSM Schrott & Metallhandel,Bahnhofstraße 13c,19258,Boizenburg,DE,49,7760163173,,,
Gräb Schrotthandel GmbH,Bahnhofstr. 50,57290,Neunkirchen,DE,49,1527166391,,,
Donna Escort,Hohenstaufenring 62,50674,Köln,DE,49,1720269504,,,
Aura Escort Köln,Hauptstraße,51143,Köln,DE,49,1766085531,,,
LMC - Eroscenter C33,Calwerstrasse 33,71034,Böblingen,DE,49,1787140169,,,
Haus 408,Verler Straße 408,33334,Gütersloh,DE,49,1746437968,,,
ENIDVA UG (haftungsbeschränkt),Schelmenwasenstraße 37,70567,Stuttgart,DE,49,1779067146,,,
Aura Escort Frankfurt,Lyoner Straße 14,60528,Frankfurt am Main,DE,49,1523059493,,,
"Fredls Fahrschule, Inh. Alfred Riegg",Hauptstraße 98,82383,Hohenpeißenberg,DE,49,1607461289,,,
"Fahrschule und Ferienfahrschule A. Stern e. K., Inh. Günter Gaaß",Bahnhofstraße 48,94469,Deggendorf,DE,49,1526915913,,,
"Führerscheinschmiede, Inh. Udo Klaskala",Wittener Straße 60,44789,Bochum,DE,49,42505068,,,
Fahrschule GEFA,Klöcknerstraße 2,49124,Georgsmarienhütte,DE,49,1707541218,,,
Fahrschule Abendroth,Kaiserstr. 209,76133,Karlsruhe,DE,49,93600179,,,
Fahrschule Schneider GbR,Hausacherstr. 10,78054,Villingen-Schwenningen,DE,49,1520135893,,,
"Fahrschule Mandt, Inhaberin: Frau Christiane Mandt",Moltkestr. 47,47058,Duisburg,DE,49,1724245872,,,
Fahrschule Rösgen,Berger Straße 147,51145,Köln-Porz,DE,49,1752163977,,,
Friseur Haarvariante,Grote Gert 25,47495,Rheinberg,DE,49,1775227795,,,
CUT AND STYLE by Daniela UG,Feldstraße 7,16761,Hennigsdorf,DE,49,1705016678,,,
Prenzl´berger Friseure,Stubbenkammerstraße 4,10437,Berlin,DE,49,1773478809,,,
"Kopfsache - Der Friseur, Inhaberin: Melanie Eggers",Ulzburger Str. 561,22844,Norderstedt,DE,49,1708760140,,,
"NeoDerm, Inhaber: Benjamin Bucher",Kolomanstraße 22,73527,Schwäbisch Gmünd/ Wetzgau,DE,49,8895892178,,,
"Jungeblut & Friends, Inhaber: Lisa-Marie Jungeblut",Nöttenstr. 14,59494,Soest,DE,49,1703871872,,,
"Perfect Hair Friseursalon, Inh. Frank Schäffler",Würzburger Str. 44,97261,Güntersleben,DE,49,1759539472,,,
"Praxis für Podologie, Inh. Anke Schmitz",Hainstraße 15,42109,Wuppertal,DE,49,6797044172,,,
Bausachverständiger Frank Obermann,Steinmetzstraße 75,45476,Mülheim an der Ruhr,DE,49,1730956702,,,
BUG Büro für Umweltschutz und Geotechnik Dipl.-Geol. Achim von Hein,Zum Kohlwaldfeld 19a,65817,Eppstein,DE,49,1773979763,,,
JMS-Facility-Management,Anton-Ulrichstr. 6,98617,Meiningen,DE,49,1781178209,,,
Gesellschaft für Abgastechnik mbH,Dieselstr. 44,63165,Mühlheim,DE,49,1707113158,,,
Gunter Thomas Kanalservice & Hausmeisterdienste,Kreuzgasse 5,7743,Jena,DE,49,1453386160,,,
HMS Hausmeister-Service Roland Bertuleit e.K.,Zeppelinstr. 1,73760,Ostfildern (Kemnat),DE,49,1762969471,,,
Arigato Reinhard-Schneider,Nieder-Saulheimer-Str. 19,55291,Saulheim,DE,49,1758262851,,,
"Dittrich Treppenhausreinigung Blitz Blank, Inhaberin: Nadine Dittrich",Hörnstraße 21,25370,Seester b. Elmshorn,DE,49,1700762653,,,
Bibi Hausmeisterservice | Inhaber: Azem Bibic,Jagdweg 19,1159,Dresden,DE,49,1768832877,,,
"RG Dienstleistungen, Inh. Gerd Rheiner",Donnersbergstraße 4,86916,Kaufering,DE,49,1705843585,,,
RUDI® GmbH,Erfurter Straße 21,99734,Nordhausen,DE,49,1721503704,,,
Eberhard Vogel,Rudolf-Virchow-Str. 22,18435,Stralsund,DE,49,1788025283,,,
Hundeschule Rösler,Siefenfeldchen 136,53332,Bornheim Roisdorf,DE,49,6478593174,,,
Hundehalterschule | Inhaberin: Anette Knobloch,Haus Alsbach 2,51766,Engelskirchen,DE,49,1784059639,,,
Dog’s College - Birgitta K. Edelmann,Gartenstraße 83,72108,Rottenburg,DE,49,1793656891,,,
"Hundeschule Pfotenteam, Inh. Andrea Dieckmann",Hornstr. 7,45964,Gladbeck,DE,49,1608711346,,,
Mapefratz,Waldstr. 37,4105,Leipzig,DE,49,1709077958,,,
"Kita Krabbelkäfer, Maria Thanou-Schmitten & Wolfgang Schmitten",Aachener Straße 165,40223,Düsseldorf,DE,49,1739343320,,,
"Kindertagespflege Bienenkörbchen, Inh. Dagmar Henze",Mühlenstraße 70,46047,Oberhausen,DE,49,1723881243,,,
Kinderstube Leubnitz,Kolonie 20,8412,Werdau/OT Leubnitz,DE,49,1735083840,,,
Kindergruppe Purzelbaum e.V.,Wermelingstraße 21-23,48147,Münster,DE,49,1724061207,,,
GastroMaps.at,Keltenweg 1,7082,Donnerskirchen,DE,49,1776240394,,,
J. Blumberg KG,Drechslerweg 55,33659,Bielefeld,DE,49,7218755170,,,
Vanedler UG (haftungsbeschränkt),Regensburger Allee 10,86399,Bobingen,DE,49,1783773642,,,
bitPlus GmbH,Goldberg 12,85567,Grafing,DE,49,1730290312,,,
terZia Personal-Service GmbH,Sophienstraße 58,99817,Eisenach,DE,49,1786285616,,,
Jobfair GmbH,Werderstraße 20,68165,Mannheim,DE,49,1709113686,,,
"Die Kanalprofis, Inh.: Roland Strebhardt",Beskidenring 2,86633,Neuburg an der Donau,DE,49,1781182919,,,
CLEANCOLD Trockeneisreinigung,Schulstraße 49,9356,St. Egidien,DE,49,1795288155,,,
Clean Optimal GmbH,Korntaler Landstraße 84,70499,Stuttgart,DE,49,1769413633,,,
"ARK Service Michael Schenk e.K., Inhaber: Herr Michael Schenk",Finkenstr. 8,83101,Rohrdorf,DE,49,1780603628,,,
KEBOS Technical Services GmbH,Riesenfeldstr. 116,80809,München,DE,49,1600094041,,,
Böhm Gebäudereinigung GmbH,Alter Mühlberg 15,8289,Schneeberg,DE,49,1527996580,,,
"Main-Kinzig Kanal- und Rohrreinigungsservice, Inh. Klaus Dieter Wendler e.K",Hanauer Landstr. 54,63571,Gelnhausen,DE,49,1760528403,,,
"Schädlingsbekämpfung Piepenbrink, Inh. Dirk Piepenbrink",Winzerather Str. 1,41516,Grevenbroich,DE,49,1735918466,,,
Aktuell-Schlossnotdienst Sicherheitstechnik K.Klose e.K.,An der Johanniskirche 10,30629,Hannover,DE,49,1751961991,,,
Hauptsächlich Leinen Constanze von Papen,Gutzkowstraße 4,10827,Berlin,DE,49,1757673885,,,
Näherei Hähnlein,Am Bahnhof 20c,96523,Steinach,DE,49,1701362433,,,
Nähzimmer Inh. Olga Naumann,Husumer Str. 31,24941,Flensburg,DE,49,1706598588,,,
UBS Universal Brandschutz Service GmbH,Wanslebener Weg 9a,6179,Teutschenthal,DE,49,1601569172,,,
Sicherheitstechnik Klaus Noch,Saarstr. 76,50859,Köln (Lövenich),DE,49,1772041695,,,
WHS-Hochwasserschutz GmbH & Co. KG,Ursberger Str. 17,86470,Thannhausen,DE,49,1708208946,,,
"switch! GmbH, Gesellschaft für innovative Telecommunication und Datentechnik mbH",Provinzialstraße 42,66787,Wadgassen,DE,49,1704514302,,,
"Kunick Markierungen, Inh. Fabian Schwarz",In der Schrei 16,73450,Neresheim,DE,49,1785400086,,,
MOZART GmbH,Scharnhorststrasse 23,73054,Eislingen,DE,49,1752651903,,,
HWS Heidelberger Wach- & Sicherheitsdienst GmbH,Heinrich-Fuchs-Str. 43,69126,Heidelberg,DE,49,1608757221,,,
Skytec Security GmbH,Hildesheimer Str. 14a,15366,Neuenhagen,DE,49,1774375091,,,
Arno Arnold GmbH,Bieberer Straße 161,63179,Obertshausen,DE,49,1797837738,,,
Iven Axen Blitzschutz GmbH,Kleinfeld 65,21149,Hamburg,DE,49,1794118564,,,
Multicomsystem OHG,Heinrich-Lersch-Straße 18A,40721,Hilden,DE,49,1745235811,,,
GRÖGER Tore + Lösungen UG,Pforzheimer Str. 26,75180,Pforzheim,DE,49,1783660725,,,
Dr. Reimann Projektmanagement Gesellschaft mbH,HerzoGoethestraße 54,38667,Bad Harzburg,DE,49,1736653081,,,
schutz in form GmbH,Neuer Weg 15,74736,Schweinberg,DE,49,1729227701,,,
Hofmeister Sicherheitstechnik GmbH,Gartenstraße 2,10115,Berlin,DE,49,1528120302,,,
"FERROTEC-Sealing-Solutions OHG, Inh.: Hans-Jörg Blümel, Jürgen Mutz",Kruppstraße 4 - Gewerbegebiet Merenberg,35799,Merenberg,DE,49,1753822066,,,
Walden Sicherheitstechnik GbR,Kettenstraße 41,16909,Wittstock / Dosse,DE,49,1785506791,,,
access group gmbh,Rudolf-Diesel-Straße 9,78467,Konstanz,DE,49,6485386174,,,
Wimmelmeier Fenster und Türen GmbH & Co. KG,Gewerbe Str. 6,33397,Rietberg,DE,49,1525082354,,,
Aero&Inkeaters,Stollbergerstr. 69,12627,Berlin,DE,49,1529449336,,,
"Harrys Tattoo Studio, Inhaber: Harry Körner",Oberhäuser Straße 17,91522,Ansbach,DE,49,4636148175,,,
"Paintfull. Tattoo & Piercing, Inh. Benjamin Bucher",Kolomanstr. 22,73527,Schwäbisch Gmünd,DE,49,1788020178,,,
Tath's Piercing,Bahnhofstraße 67,63607,Wächtersbach,DE,49,1735947527,,,
Therapie Pension Ruth Terhaar,Signauerstr. 1,79865,Grafenhausen,DE,49,1606668309,,,
Josef´s Tierpension,Oderstraße 1,14974,Ludwigsfelde,DE,49,1776182945,,,
Silke´s Dog Service,Bahnhofstr. 9,86497,Horgau,DE,49,1522942389,,,
Affen-Zoo Jocksdorf e.V.,OT Jocksdorf Nr. 8,3159,Neiße - Malxetal,DE,49,1734317609,,,
Gnadenhof Chiemgau e.V.,Moosstr. 8,83365,Sondermoning,DE,49,1730936745,,,
Höchstädter Klauenpflege GmbH,Ensbachstraße 17,89420,Höchstädt,DE,49,1527271931,,,
"Heye, Wiebke Osteotherapie für Pferde",Nelkenstr. 6,28857,Syke,DE,49,1728767224,,,
Brandl Vogelfreiesdach,Bauernholz 4,94336,Hunderdorf,DE,49,6084250170,,,
Rheintechnik Weiland & Kasper GmbH & Co. KG,Insterburger Straße 8,56564,Neuwied,DE,49,1756648025,,,
Forellenzucht Remsquelle,Gerwiesen,73457,Essingen,DE,49,1744107732,,,
ALBE-Fischfarm GmbH & Co. KG,Alter Ortskern 33,49733,Haren-Rütenbrock,DE,49,1788910709,,,
Lohmann Breeders GmbH,Am Seedeich 9-11,27472,Cuxhaven,DE,49,1600344663,,,
"Forellenhof Lenz GbR, Inh. Claudia und Dietmar Wamser",Sauersgrund 2,64760,Oberzent,DE,49,4,,,
Trakehner Zucht Hanke,Düth 18,31789,Hameln,DE,49,1787894359,,,
Labradorzucht vom Egelsee Inh. Markus Kockskämper,Egelseestraße 28/2,88348,Bad Saulgau-Hochberg,DE,49,1767409747,,,
Fohlenhof Gebhard,Bauren 1,88214,Ravensburg,DE,49,1521705091,,,
Frenk Transportdienste Inh. Christof Frenk,Horstmarer Landweg,48149,Münster,DE,49,1528360928,,,
Große Holz GmbH & Co. KG,Brock 18,48308,Senden - Bösensell,DE,49,1782174709,,,
Onlinecenter & Mobilitätshilfen Hannover UG,Hildesheimer Straße 408,30519,Hannover,DE,49,1767613194,,,
"Horse-Service.com e.K., Inh. Andrea Hillbrecht",Rogglfing 2,84405,Dorfen,DE,49,1752928430,,,
Spedition Konrad Pfaffenberger GmbH & Co. KG,Lehengraben 7,95463,Bindlach,DE,49,1706677287,,,
AGn-Transportgeräte GmbH,Junkersring 19,53844,Troisdorf,DE,49,1738206272,,,
"LASTENTAXI MÜNCHEN, Inhaber: Gints Berzins",Schliemannweg 7,80937,München,DE,49,1721976901,,,
FineLogistics,Sieglindestrasse 88,95445,Bayreuth,DE,49,1725212892,,,
"Stübner Umzugsservice, Inhaber: Michael Stübner",Theodor-Friedrich-Weg 9,1279,Dresden,DE,49,1525908609,,,
Holstenhallen Neumünster GmbH,Justus-von-Liebig-Straße 2-4,24537,Neumünster,DE,49,1522381645,,,
"Akustik Art, Inh. Christian Reuchlein",Konrad-Zuse-Ring 8,24220,Flintbek,DE,49,1791025974,,,
Walker Pyrotechnik,Nürtingerstr. 69,72667,Schlaitdorf,DE,49,1796810537,,,
"FFB Stunt/SFX Fred Feuerstein Braeutigam, Inhaber: Fred Braeutigam",Dahlienstrasse 29b,23795,Bad Segeberg,DE,49,1743412284,,,
Heines Messebau GmbH,Kleinkollenburgstraße 66 - 68,47877,Willich,DE,49,1729177165,,,
"Frede Events, Inhaber: Frank Frede",Taubenstraße 29,48282,Emsdetten,DE,49,1782288871,,,
Quadro Messebau & Design GmbH,Benzstr. 14,65779,Kelkheim,DE,49,1755471777,,,
"Hoffmann Multimedia und Sound, Inhaberin: Christine Hoffmann",Franz-Lehár-Strasse 7,76684,Östringen,DE,49,1734812178,,,
Feuersteins Karussellbetriebe,Johann Sittig Str. 14,65931,Frankfurt am Main,DE,49,1734694138,,,
Bohlen & Tammling GmbH & Co KG,Heisfelder Str. 161,26789,Leer,DE,49,1602104553,,,
Schneeweiß Wäscherei- und Reinigungsgesellschaft mbH,Steinenbrückstr. 26,51643,Gummersbach,DE,49,1770769521,,,
Hammonia Wäscherei und Wäscheverleih Hartwig GmbH,Kulemannstieg 38,22457,Hamburg,DE,49,1742648221,,,
Rote Harfe Kreuzberg GmbH,Oranienstraße 13,10999,Berlin,DE,49,1779130837,,,
Hansa-Treff,Hansaplatz 6,20099,Hamburg,DE,49,1742639946,,,
"Cafe Maarblick, Inh. Bernd Lenerz",Maarstraße 16,54552,Schalkenmehren,DE,49,1038115178,,,
Erste Liebe,Kaiser-Joseph-Str. 264,79098,Freiburg,DE,49,1765468441,,,
Café Erste Sahne,Bramstraße 31,49090,Osnabrück / Haste,DE,49,1747461280,,,
"Café Friedrichstadt, Inhaber: Albrecht & Jörg GbR",Friedrichstraße 38-42,1067,Dresden,DE,49,1725583002,,,
"Café Bistro Popcorn, Inhaber: Martin Schöllhorn",Einsteinstr. 2,88453,Erolzheim,DE,49,8239479160,,,
Rock-Café Salzgitter,Am Schölkegraben 36,38226,Salzgitter,DE,49,1721771678,,,
"Café Anna, Inh. Benno Brecht",Hopfenbergstr. 3,32469,Petershagen,DE,49,1765670981,,,
Käskoung Stub’n,Poppenreuther Straße 6,90419,Nürnberg,DE,49,1786551593,,,
Damgartener Catering & Partyservice,Stralsunder Str. 16,18311,Ribnitz-Damgarten,DE,49,1767102866,,,
"Fleischerei und Partyservice Rennschuh, Inh. Otto Rennschuh",Harzstrasse 5,37445,Walkenried,DE,49,1752129555,,,
Pegas Catering- & Veranstaltungsservice Alexander Bischoff,Echterdinger Str. 57 Bau 20,70794,Stuttgart-Filderstadt,DE,49,1704873767,,,
geschmacksArt im Golfclub Isernhagen UG (Haftungsbeschränkt),Gut Lohne 22,30916,Isernhagen,DE,49,1609096239,,,
Michael Eberhardt Catering GmbH,Derken 11,42327,Wuppertal,DE,49,1703956669,,,
